Provincia,Poblacion,Turismos,PIB
Albacete,392110,171789,6521852
Alicante,1825264,901546,34321944
Almería,646633,304071,13871424
Álava,305459,141555,10337599
Asturias,1074862,483289,22905655
Ávila,168638,79798,3330749
Badajoz,678459,319349,10702067
Illes Balears,1030650,645216,26130320
Barcelona,5332513,2396656,146368312
Bizkaia,1141457,488454,33027203
Burgos,365972,174563,9616556
Cáceres,411531,190564,6689622
Cádiz,1207343,522313,22068861
Cantabria,572824,274040,13336874
Castellón,573282,279708,13855766
Ciudad Real,510122,215825,9121215
Córdoba,792182,336667,12733186
A Coruña,1132792,558353,23274472
Cuenca,211375,97672,3836006
Gipuzkoa,694944,298750,21697500
Girona,706185,370007,19188253
Granada,884099,413554,15045170
Guadalajara,224076,109477,4292009
Huelva,497671,214982,9391749
Huesca,220107,106667,5227044
Jaén,664742,252911,9959624
León,497387,239340,10262109
Lleida,414015,206937,11383289
Lugo,355176,182092,6487213
Madrid,6081689,3326579,186671422
Málaga,1517523,733405,27382809
Murcia,1392117,673379,26995450
Navarra,605876,286394,17722300
Ourense,336926,195009,5614920
Palencia,173281,82140,3983588
Las Palmas,1042131,483337,22457258
Pontevedra,947639,499297,18696160
La Rioja,308968,127445,7731168
Salamanca,351326,161295,6725036
Santa Cruz de Tenerife,983820,484352,19348382
Segovia,159322,80922,3795363
Sevilla,1849268,859124,35352621
Soria,93593,44506,2039271
Tarragona,757795,359252,20178923
Teruel,144046,75078,3555183
Toledo,639621,314397,11719314
Valencia,2486483,1206303,53364782
Valladolid,521661,241278,12984278
Zamora,197237,91491,3655724
Zaragoza,932502,382245,24048843
Ceuta,76603,40758,1558439
Melilla,69440,36043,1442026
